Entity,Code,Day,Total tests,142605-annotations,Total confirmed cases of COVID-19,Total confirmed deaths due to COVID-19 
Afghanistan,AFG,31-05-2021,,,1845.391,75.626
Africa,,31-05-2021,,,3610.672,97.446
Albania,ALB,31-05-2021,243264,tests performed,45977.83,851.692
Algeria,DZA,31-05-2021,,,2939.793,79.177
Andorra,AND,31-05-2021,2483091,people tested,177661.296,1643.694
Angola,AGO,31-05-2021,,,1051.26,23.307
Antigua and Barbuda,ATG,31-05-2021,,,12866.596,428.887
Argentina,ARG,31-05-2021,224113,tests performed,83675.605,1727.883
Armenia,ARM,31-05-2021,365803,tests performed,75144.251,1497.688
Asia,,31-05-2021,,,11049.041,147.747
Australia,AUS,31-05-2021,721521,tests performed,1181.104,35.686
Austria,AUT,31-05-2021,4638503,tests performed,71595.199,1177.274
Azerbaijan,AZE,31-05-2021,346101,,32937.197,484.556
Bahamas,BHS,31-05-2021,,,29996.338,584.873
Bahrain,BHR,31-05-2021,2718751,units unclear,141357.195,575.934
Bangladesh,BGD,31-05-2021,36054,tests performed,4860.908,76.623
Barbados,BRB,31-05-2021,,,13978.446,163.552
Belarus,BLR,31-05-2021,670464,tests performed,41742.576,301.715
Belgium,BEL,31-05-2021,1209241,tests performed,91633.838,2153.221
Belize,BLZ,31-05-2021,,,32214.093,814.846
Benin,BEN,31-05-2021,,,664.676,8.331
Bhutan,BTN,31-05-2021,,,2099.501,1.296
Bolivia,BOL,31-05-2021,126951,tests performed,31806.569,1244.236
Bosnia and Herzegovina,BIH,31-05-2021,298053,tests performed,62183.329,2820.336
Botswana,BWA,31-05-2021,,,23376.601,361.027
Brazil,BRA,31-05-2021,,,77839.669,2177.231
Brunei,BRN,31-05-2021,,,553.164,6.857
Bulgaria,BGR,31-05-2021,405984,tests performed,60240.385,2547.333
Burkina Faso,BFA,31-05-2021,,,642.674,7.941
Burundi,BDI,31-05-2021,,,402.833,0.505
Cambodia,KHM,31-05-2021,69228,,1799.991,12.8
Cameroon,CMR,31-05-2021,,,2973.307,48.03
Canada,CAN,31-05-2021,921783,tests performed,36811.039,676.379
Cape Verde,CPV,31-05-2021,,,54747.584,474.83
Central African Republic,CAF,31-05-2021,,,1468.188,20.291
Chad,TCD,31-05-2021,,,300.197,10.532
Chile,CHL,31-05-2021,775516,tests performed,72417.392,1532.731
China,CHN,31-05-2021,,,63.344,3.221
Colombia,COL,31-05-2021,333403,tests performed,66946.991,1744.673
Comoros,COM,31-05-2021,,,4462.997,167.894
Congo,COG,31-05-2021,,,2112.687,27.727
Costa Rica,CRI,31-05-2021,200915,people tested,62618.544,793.268
Cote d'Ivoire,CIV,31-05-2021,24590,samples tested,1792.839,11.563
Croatia,HRV,31-05-2021,490456,people tested,86761.936,1955.049
Cuba,CUB,31-05-2021,383993,tests performed,12560.327,84.58
Cyprus,CYP,31-05-2021,8008420,tests performed,82723.008,411.006
Czechia,CZE,31-05-2021,,,155128.844,2811.472
Democratic Republic of Congo,COD,31-05-2021,,,353.4,8.731
Denmark,DNK,31-05-2021,5603831,tests performed,48683.549,434.55
Djibouti,DJI,31-05-2021,,,11673.053,155.87
Dominica,DMA,31-05-2021,,,2611.438,
Dominican Republic,DOM,31-05-2021,,,26990.099,334.442
Ecuador,ECU,31-05-2021,77637,people tested,24147.569,1166.011
Egypt,EGY,31-05-2021,,,2566.586,147.516
El Salvador,SLV,31-05-2021,,,11362.892,346.736
Equatorial Guinea,GNQ,31-05-2021,,,6079.181,84.106
Eritrea,ERI,31-05-2021,,,1154.401,3.948
Estonia,EST,31-05-2021,1080304,tests performed,97655.629,943.809
Eswatini,SWZ,31-05-2021,,,16027.906,580.09
Ethiopia,ETH,31-05-2021,23694,tests performed,2361.974,36.229
Europe,,31-05-2021,,,62627.129,1435.092
European Union,,31-05-2021,,,72370.352,1630.953
Fiji,FJI,31-05-2021,124347,tests performed,488.597,4.462
Finland,FIN,31-05-2021,913174,tests performed,16692.421,172.541
France,FRA,31-05-2021,,,84790.224,1623.492
Gabon,GAB,31-05-2021,,,10975.735,68.292
Gambia,GMB,31-05-2021,,,2479.865,74.069
Georgia,GEO,31-05-2021,1247125,tests performed,86224.094,1196.488
Germany,DEU,31-05-2021,,,44040.908,1057.494
Ghana,GHA,31-05-2021,,,3021.857,25.263
Greece,GRC,31-05-2021,913414,samples tested,38597.701,1160.408
Grenada,GRD,31-05-2021,,,1430.869,8.887
Guatemala,GTM,31-05-2021,79548,people tested,14200.89,455.749
Guinea,GIN,31-05-2021,,,1764.819,12.259
Guinea-Bissau,GNB,31-05-2021,,,1913.62,34.553
Guyana,GUY,31-05-2021,,,21552.102,494.559
Haiti,HTI,31-05-2021,,,1258.58,27.099
High income,,31-05-2021,,,61555.867,1223.988
Honduras,HND,31-05-2021,,,24052.138,641.419
Hong Kong,HKG,31-05-2021,,,1579.434,28.011
Hungary,HUN,31-05-2021,556296,tests performed,83282.49,3077.839
Iceland,ISL,31-05-2021,,,19208.791,84.982
India,IND,31-05-2021,249903,samples tested,20416.634,240.503
Indonesia,IDN,31-05-2021,41135,people tested,6660.13,184.913
Iran,IRN,31-05-2021,237360,tests performed,34683.1,954.318
Iraq,IRQ,31-05-2021,259631,samples tested,29867.659,407.11
Ireland,IRL,31-05-2021,,,53068.819,1000.649
Israel,ISR,31-05-2021,1958141,tests performed,96987.005,740.797
Italy,ITA,31-05-2021,1094447,tests performed,69760.064,2086.077
"Italy, people tested",,31-05-2021,464983,,,
Jamaica,JAM,31-05-2021,,,16397.96,320.145
Japan,JPN,31-05-2021,108451,people tested,5907.724,102.833
Jordan,JOR,31-05-2021,,,72186.993,927.362
Kazakhstan,KAZ,31-05-2021,,,23589.6,183.898
Kenya,KEN,31-05-2021,,,3175.207,58.991
Kiribati,KIR,31-05-2021,,,16.744,
Kosovo,OWID_KOS,31-05-2021,316311,,55361.879,1163.095
Kuwait,KWT,31-05-2021,610638,tests performed,72407.783,414.934
Kyrgyzstan,KGZ,31-05-2021,,,16052.412,277.122
